seed,scenario_id,quadrant,strategy,windows,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1,true_state_changes,final_state_changes,extra_state_changes,missing_state_changes,transition_count,transition_success_count,transition_success_rate,transition_delay_mean
7,seed7_quad2_scenario1,quad2,raw_prediction,60,0.5666666666666667,0.5659147869674186,0.5738345864661655,0.6,0.5714285714285715,0.5263157894736842,4,36,32,0,4,4,1.0,1.0
7,seed7_quad2_scenario1,quad2,majority_vote_3,60,0.6333333333333333,0.6301218161683277,0.641860465116279,0.7142857142857143,0.6046511627906976,0.5714285714285714,4,26,22,0,4,4,1.0,1.75
7,seed7_quad2_scenario1,quad2,majority_vote_5,60,0.7,0.6970474967907574,0.7206675224646983,0.8292682926829268,0.6829268292682927,0.5789473684210527,4,21,17,0,4,4,1.0,2.0
7,seed7_quad2_scenario1,quad2,majority_vote_7,60,0.7166666666666667,0.7106780068836372,0.7399930954398518,0.8837209302325582,0.6842105263157894,0.5641025641025641,4,14,10,0,4,4,1.0,3.0
7,seed7_quad2_scenario1,quad2,state_machine_confirm_2,60,0.65,0.6483127489818791,0.6618462665201904,0.7368421052631579,0.627450980392157,0.5806451612903226,4,11,7,0,4,4,1.0,2.75
7,seed7_quad2_scenario1,quad2,state_machine_confirm_3,60,0.4,0.41005291005291006,0.3920634920634921,0.4444444444444445,0.28571428571428575,0.5,4,2,0,2,4,2,0.5,9.0
7,seed7_quad2_scenario1,quad2,vote5_state_machine_confirm_2,60,0.75,0.7373015873015873,0.7590476190476191,0.9333333333333333,0.65,0.6285714285714286,4,5,1,0,4,4,1.0,3.5
7,seed7_quad2_scenario1,quad2,vote5_state_machine_confirm_3,60,0.7,0.6849206349206348,0.7076190476190475,0.9333333333333333,0.5499999999999999,0.5714285714285714,4,5,1,0,4,4,1.0,4.5
7,seed7_quad2_scenario2,quad2,raw_prediction,60,0.5666666666666667,0.5659147869674186,0.5738345864661655,0.6,0.5714285714285715,0.5263157894736842,4,33,29,0,4,4,1.0,2.0
7,seed7_quad2_scenario2,quad2,majority_vote_3,60,0.5666666666666667,0.5653459301391432,0.5693242070760628,0.5853658536585366,0.5652173913043478,0.5454545454545454,4,21,17,0,4,4,1.0,3.25
