family,top_k,feature_index,selected_runs,mean_rank,mean_fisher_score,selection_rate
gradient_boosting,160,331,10,20.3,0.3271753124626827,1.0
gradient_boosting,160,332,3,140.33333333333334,0.1632904626647713,0.3
gradient_boosting,160,333,2,138.0,0.16260347097628766,0.2
gradient_boosting,160,334,10,37.2,0.3060367956898754,1.0
gradient_boosting,160,342,10,31.1,0.31254651730518224,1.0
gradient_boosting,160,343,4,140.0,0.1609763295482004,0.4
gradient_boosting,160,344,2,153.5,0.15636832549893737,0.2
gradient_boosting,160,345,10,39.1,0.30363145631617694,1.0
gradient_boosting,160,353,10,32.8,0.3112769892456987,1.0
gradient_boosting,160,354,2,155.5,0.14874012047708635,0.2
gradient_boosting,160,355,3,144.33333333333334,0.15788513024181405,0.3
gradient_boosting,160,356,10,40.3,0.3027173175379937,1.0
gradient_boosting,160,361,1,159.0,0.15601177492322524,0.1
gradient_boosting,160,364,10,26.4,0.31739767464287266,1.0
gradient_boosting,160,365,3,145.0,0.16003682098157562,0.3
gradient_boosting,160,366,3,149.33333333333334,0.15620607937782627,0.3
gradient_boosting,160,367,10,35.4,0.3079028995441519,1.0
gradient_boosting,160,375,10,32.0,0.31196233964016323,1.0
gradient_boosting,160,377,3,135.33333333333334,0.16188799126521294,0.3
gradient_boosting,160,378,10,39.0,0.30454326711503077,1.0
gradient_boosting,160,380,5,151.0,0.15506134381200262,0.5
gradient_boosting,160,386,10,44.9,0.29486361329095534,1.0
gradient_boosting,160,388,2,156.5,0.1547350451795267,0.2
gradient_boosting,160,389,10,55.2,0.27681624094507895,1.0
gradient_boosting,160,397,10,54.7,0.2781891117157095,1.0
gradient_boosting,160,400,10,67.6,0.25344130041688584,1.0
gradient_boosting,160,408,10,57.9,0.2723785591519128,1.0
gradient_boosting,160,410,1,153.0,0.15480643630496232,0.1
gradient_boosting,160,411,10,55.1,0.27728601312602164,1.0
gradient_boosting,160,419,10,55.5,0.27550372914963134,1.0
gradient_boosting,160,422,10,47.5,0.2916751516841589,1.0
gradient_boosting,160,430,10,66.3,0.25447351671965335,1.0
gradient_boosting,160,433,10,70.7,0.2470711395906821,1.0
gradient_boosting,160,441,10,82.6,0.22285399409809353,1.0
gradient_boosting,160,444,10,84.2,0.2170499806544456,1.0
gradient_boosting,160,452,10,92.6,0.20603343492091514,1.0
gradient_boosting,160,455,10,91.1,0.20747150812305803,1.0
gradient_boosting,160,463,10,123.6,0.17821877916788015,1.0
gradient_boosting,160,466,10,108.7,0.18932782381227203,1.0
gradient_boosting,160,474,10,125.0,0.1779864792673417,1.0
gradient_boosting,160,477,10,120.1,0.17992769705902317,1.0
gradient_boosting,160,485,2,139.0,0.19914638291730316,0.2
gradient_boosting,160,488,6,143.0,0.16842027335720158,0.6
gradient_boosting,160,496,2,122.5,0.2205608388507679,0.2
gradient_boosting,160,499,6,131.83333333333334,0.18197481571929328,0.6
gradient_boosting,160,507,1,148.0,0.2133612055757775,0.1
gradient_boosting,160,510,1,138.0,0.2199083604226289,0.1
