seed,classifier,true_label,predicted_label,count,normalized_by_true_class
126,logistic_regression_c0_1,movement,empty,3,0.0967741935483871
126,logistic_regression_c0_1,movement,static_presence,8,0.25806451612903225
126,logistic_regression_c0_1,movement,movement,20,0.6451612903225806
126,logistic_regression_c1,empty,empty,11,0.6875
126,logistic_regression_c1,empty,static_presence,3,0.1875
126,logistic_regression_c1,empty,movement,2,0.125
126,logistic_regression_c1,static_presence,empty,4,0.12903225806451613
126,logistic_regression_c1,static_presence,static_presence,17,0.5483870967741935
126,logistic_regression_c1,static_presence,movement,10,0.3225806451612903
126,logistic_regression_c1,movement,empty,1,0.03225806451612903
126,logistic_regression_c1,movement,static_presence,8,0.25806451612903225
126,logistic_regression_c1,movement,movement,22,0.7096774193548387
126,logistic_regression_c10,empty,empty,11,0.6875
126,logistic_regression_c10,empty,static_presence,2,0.125
126,logistic_regression_c10,empty,movement,3,0.1875
126,logistic_regression_c10,static_presence,empty,5,0.16129032258064516
126,logistic_regression_c10,static_presence,static_presence,16,0.5161290322580645
126,logistic_regression_c10,static_presence,movement,10,0.3225806451612903
126,logistic_regression_c10,movement,empty,0,0.0
126,logistic_regression_c10,movement,static_presence,7,0.22580645161290322
126,logistic_regression_c10,movement,movement,24,0.7741935483870968
126,logistic_regression_c1_balanced,empty,empty,11,0.6875
126,logistic_regression_c1_balanced,empty,static_presence,3,0.1875
126,logistic_regression_c1_balanced,empty,movement,2,0.125
126,logistic_regression_c1_balanced,static_presence,empty,5,0.16129032258064516
126,logistic_regression_c1_balanced,static_presence,static_presence,17,0.5483870967741935
126,logistic_regression_c1_balanced,static_presence,movement,9,0.2903225806451613
126,logistic_regression_c1_balanced,movement,empty,1,0.03225806451612903
126,logistic_regression_c1_balanced,movement,static_presence,8,0.25806451612903225
126,logistic_regression_c1_balanced,movement,movement,22,0.7096774193548387
126,xgboost_depth2_10,empty,empty,13,0.8125
126,xgboost_depth2_10,empty,static_presence,3,0.1875
126,xgboost_depth2_10,empty,movement,0,0.0
126,xgboost_depth2_10,static_presence,empty,0,0.0
126,xgboost_depth2_10,static_presence,static_presence,25,0.8064516129032258
126,xgboost_depth2_10,static_presence,movement,6,0.1935483870967742
126,xgboost_depth2_10,movement,empty,2,0.06451612903225806
126,xgboost_depth2_10,movement,static_presence,9,0.2903225806451613
126,xgboost_depth2_10,movement,movement,20,0.6451612903225806
126,xgboost_depth2_20,empty,empty,13,0.8125
126,xgboost_depth2_20,empty,static_presence,3,0.1875
126,xgboost_depth2_20,empty,movement,0,0.0
126,xgboost_depth2_20,static_presence,empty,1,0.03225806451612903
126,xgboost_depth2_20,static_presence,static_presence,22,0.7096774193548387
126,xgboost_depth2_20,static_presence,movement,8,0.25806451612903225
126,xgboost_depth2_20,movement,empty,3,0.0967741935483871
126,xgboost_depth2_20,movement,static_presence,7,0.22580645161290322
126,xgboost_depth2_20,movement,movement,21,0.6774193548387096
126,xgboost_depth3_20,empty,empty,14,0.875
126,xgboost_depth3_20,empty,static_presence,2,0.125
126,xgboost_depth3_20,empty,movement,0,0.0
126,xgboost_depth3_20,static_presence,empty,0,0.0
126,xgboost_depth3_20,static_presence,static_presence,23,0.7419354838709677
126,xgboost_depth3_20,static_presence,movement,8,0.25806451612903225
126,xgboost_depth3_20,movement,empty,1,0.03225806451612903
126,xgboost_depth3_20,movement,static_presence,7,0.22580645161290322
126,xgboost_depth3_20,movement,movement,23,0.7419354838709677
168,gradient_boosting_depth3_20,empty,empty,35,0.875
168,gradient_boosting_depth3_20,empty,static_presence,5,0.125
168,gradient_boosting_depth3_20,empty,movement,0,0.0
168,gradient_boosting_depth3_20,static_presence,empty,3,0.10714285714285714
168,gradient_boosting_depth3_20,static_presence,static_presence,19,0.6785714285714286
168,gradient_boosting_depth3_20,static_presence,movement,6,0.21428571428571427
168,gradient_boosting_depth3_20,movement,empty,0,0.0
168,gradient_boosting_depth3_20,movement,static_presence,12,0.4
168,gradient_boosting_depth3_20,movement,movement,18,0.6
168,logistic_regression_c0_1,empty,empty,27,0.675
168,logistic_regression_c0_1,empty,static_presence,9,0.225
168,logistic_regression_c0_1,empty,movement,4,0.1
168,logistic_regression_c0_1,static_presence,empty,5,0.17857142857142858
