seed,classifier,family,top_k,label,precision,recall,f1,support,roc_auc,average_precision
21,gradient_boosting_top70,gradient_boosting,70,movement,0.75,0.6774193548387096,0.711864406779661,31,0.75,0.7369650451430334
21,xgboost_top70,xgboost,70,empty,0.6666666666666666,0.5333333333333333,0.5925925925925926,15,0.9244444444444445,0.7685053248352481
21,xgboost_top70,xgboost,70,static_presence,0.6857142857142857,0.8275862068965517,0.75,29,0.81784107946027,0.6938849594819038
21,xgboost_top70,xgboost,70,movement,0.7142857142857143,0.6451612903225806,0.6779661016949152,31,0.7587976539589443,0.7511687389864791
21,gradient_boosting_top100,gradient_boosting,100,empty,0.8181818181818182,0.6,0.6923076923076923,15,0.9322222222222223,0.8474552669552669
21,gradient_boosting_top100,gradient_boosting,100,static_presence,0.59375,0.6551724137931034,0.6229508196721312,29,0.7616191904047976,0.6406616729452432
21,gradient_boosting_top100,gradient_boosting,100,movement,0.65625,0.6774193548387096,0.6666666666666666,31,0.7463343108504398,0.7258444892844813
21,xgboost_top100,xgboost,100,empty,0.7142857142857143,0.6666666666666666,0.6896551724137931,15,0.9222222222222223,0.67494486994487
21,xgboost_top100,xgboost,100,static_presence,0.6875,0.7586206896551724,0.7213114754098361,29,0.7886056971514243,0.6721083452631201
21,xgboost_top100,xgboost,100,movement,0.7241379310344828,0.6774193548387096,0.7,31,0.7719941348973607,0.7824480314677564
21,gradient_boosting_top126,gradient_boosting,126,empty,0.75,0.6,0.6666666666666666,15,0.9122222222222223,0.8074519632414369
21,gradient_boosting_top126,gradient_boosting,126,static_presence,0.6551724137931034,0.6551724137931034,0.6551724137931034,29,0.7721139430284858,0.636485730889596
21,gradient_boosting_top126,gradient_boosting,126,movement,0.6470588235294118,0.7096774193548387,0.676923076923077,31,0.750733137829912,0.7554979478003843
21,xgboost_top126,xgboost,126,empty,0.7692307692307693,0.6666666666666666,0.7142857142857143,15,0.9222222222222223,0.7334497205501795
21,xgboost_top126,xgboost,126,static_presence,0.7,0.7241379310344828,0.711864406779661,29,0.800599700149925,0.67022794734498
21,xgboost_top126,xgboost,126,movement,0.71875,0.7419354838709677,0.7301587301587301,31,0.7983870967741936,0.8156606747185744
21,gradient_boosting_top160,gradient_boosting,160,empty,0.8181818181818182,0.6,0.6923076923076923,15,0.9366666666666666,0.8388311951779444
21,gradient_boosting_top160,gradient_boosting,160,static_presence,0.59375,0.6551724137931034,0.6229508196721312,29,0.760119940029985,0.6248027561572919
21,gradient_boosting_top160,gradient_boosting,160,movement,0.65625,0.6774193548387096,0.6666666666666666,31,0.755131964809384,0.7473599565895346
21,xgboost_top160,xgboost,160,empty,0.7692307692307693,0.6666666666666666,0.7142857142857143,15,0.9122222222222223,0.761086608380726
21,xgboost_top160,xgboost,160,static_presence,0.7096774193548387,0.7586206896551724,0.7333333333333333,29,0.7916041979010495,0.6293289738273214
21,xgboost_top160,xgboost,160,movement,0.7419354838709677,0.7419354838709677,0.7419354838709677,31,0.8057184750733138,0.8232437909327102
