top_k,feature_index,selection_count,selection_rate,mean_rank_when_selected,mean_fisher_score_when_selected
126,31,10,1.0,69.8,0.07757891149936814
126,30,10,1.0,73,0.07302562941655372
126,203,10,1.0,74,0.07325463614706187
126,63,10,1.0,75.9,0.07179741585740473
126,139,10,1.0,76.2,0.07121915567878447
126,83,10,1.0,76.5,0.07129027040150168
126,108,10,1.0,79.1,0.06883145838054677
126,165,10,1.0,80.3,0.06843188399919095
126,117,10,1.0,82.8,0.0663979411635287
126,179,10,1.0,83.2,0.0676972582064776
126,168,10,1.0,85.1,0.0660254111509127
126,133,10,1.0,85.8,0.065614715597388
126,125,10,1.0,85.9,0.06515574584484383
126,122,10,1.0,87.1,0.06515018870787995
126,136,10,1.0,90.6,0.06366340583144028
126,116,10,1.0,92.2,0.06201160490269895
126,41,10,1.0,92.3,0.0622072202490742
126,8,10,1.0,92.8,0.06085130164815437
126,177,10,1.0,95.9,0.0602074158007114
126,180,10,1.0,96.6,0.05960227750927198
126,128,10,1.0,97.3,0.060140101758819654
126,69,9,0.9,40,0.1066796790189029
126,223,9,0.9,48.55555555555556,0.09817831657587829
126,61,9,0.9,49,0.09054629981863227
126,91,9,0.9,50.888888888888886,0.09579172698420478
126,66,9,0.9,58.77777777777778,0.09016289814620652
