seed,classifier,family,top_k,true_label,predicted_label,count,normalized_by_true_class
21,gradient_boosting_top70,gradient_boosting,70,static_presence,static_presence,22,0.7586206896551724
21,gradient_boosting_top70,gradient_boosting,70,static_presence,movement,6,0.20689655172413793
21,gradient_boosting_top70,gradient_boosting,70,movement,empty,2,0.06451612903225806
21,gradient_boosting_top70,gradient_boosting,70,movement,static_presence,8,0.25806451612903225
21,gradient_boosting_top70,gradient_boosting,70,movement,movement,21,0.6774193548387096
21,xgboost_top70,xgboost,70,empty,empty,8,0.5333333333333333
21,xgboost_top70,xgboost,70,empty,static_presence,2,0.13333333333333333
21,xgboost_top70,xgboost,70,empty,movement,5,0.3333333333333333
21,xgboost_top70,xgboost,70,static_presence,empty,2,0.06896551724137931
21,xgboost_top70,xgboost,70,static_presence,static_presence,24,0.8275862068965517
21,xgboost_top70,xgboost,70,static_presence,movement,3,0.10344827586206896
21,xgboost_top70,xgboost,70,movement,empty,2,0.06451612903225806
21,xgboost_top70,xgboost,70,movement,static_presence,9,0.2903225806451613
21,xgboost_top70,xgboost,70,movement,movement,20,0.6451612903225806
21,gradient_boosting_top100,gradient_boosting,100,empty,empty,9,0.6
21,gradient_boosting_top100,gradient_boosting,100,empty,static_presence,3,0.2
21,gradient_boosting_top100,gradient_boosting,100,empty,movement,3,0.2
21,gradient_boosting_top100,gradient_boosting,100,static_presence,empty,2,0.06896551724137931
21,gradient_boosting_top100,gradient_boosting,100,static_presence,static_presence,19,0.6551724137931034
21,gradient_boosting_top100,gradient_boosting,100,static_presence,movement,8,0.27586206896551724
21,gradient_boosting_top100,gradient_boosting,100,movement,empty,0,0.0
21,gradient_boosting_top100,gradient_boosting,100,movement,static_presence,10,0.3225806451612903
21,gradient_boosting_top100,gradient_boosting,100,movement,movement,21,0.6774193548387096
21,xgboost_top100,xgboost,100,empty,empty,10,0.6666666666666666
21,xgboost_top100,xgboost,100,empty,static_presence,2,0.13333333333333333
21,xgboost_top100,xgboost,100,empty,movement,3,0.2
21,xgboost_top100,xgboost,100,static_presence,empty,2,0.06896551724137931
21,xgboost_top100,xgboost,100,static_presence,static_presence,22,0.7586206896551724
21,xgboost_top100,xgboost,100,static_presence,movement,5,0.1724137931034483
21,xgboost_top100,xgboost,100,movement,empty,2,0.06451612903225806
21,xgboost_top100,xgboost,100,movement,static_presence,8,0.25806451612903225
21,xgboost_top100,xgboost,100,movement,movement,21,0.6774193548387096
21,gradient_boosting_top126,gradient_boosting,126,empty,empty,9,0.6
21,gradient_boosting_top126,gradient_boosting,126,empty,static_presence,2,0.13333333333333333
21,gradient_boosting_top126,gradient_boosting,126,empty,movement,4,0.26666666666666666
21,gradient_boosting_top126,gradient_boosting,126,static_presence,empty,2,0.06896551724137931
21,gradient_boosting_top126,gradient_boosting,126,static_presence,static_presence,19,0.6551724137931034
21,gradient_boosting_top126,gradient_boosting,126,static_presence,movement,8,0.27586206896551724
21,gradient_boosting_top126,gradient_boosting,126,movement,empty,1,0.03225806451612903
21,gradient_boosting_top126,gradient_boosting,126,movement,static_presence,8,0.25806451612903225
21,gradient_boosting_top126,gradient_boosting,126,movement,movement,22,0.7096774193548387
21,xgboost_top126,xgboost,126,empty,empty,10,0.6666666666666666
21,xgboost_top126,xgboost,126,empty,static_presence,2,0.13333333333333333
21,xgboost_top126,xgboost,126,empty,movement,3,0.2
21,xgboost_top126,xgboost,126,static_presence,empty,2,0.06896551724137931
21,xgboost_top126,xgboost,126,static_presence,static_presence,21,0.7241379310344828
21,xgboost_top126,xgboost,126,static_presence,movement,6,0.20689655172413793
21,xgboost_top126,xgboost,126,movement,empty,1,0.03225806451612903
21,xgboost_top126,xgboost,126,movement,static_presence,7,0.22580645161290322
21,xgboost_top126,xgboost,126,movement,movement,23,0.7419354838709677
21,gradient_boosting_top160,gradient_boosting,160,empty,empty,9,0.6
21,gradient_boosting_top160,gradient_boosting,160,empty,static_presence,3,0.2
21,gradient_boosting_top160,gradient_boosting,160,empty,movement,3,0.2
21,gradient_boosting_top160,gradient_boosting,160,static_presence,empty,2,0.06896551724137931
21,gradient_boosting_top160,gradient_boosting,160,static_presence,static_presence,19,0.6551724137931034
21,gradient_boosting_top160,gradient_boosting,160,static_presence,movement,8,0.27586206896551724
21,gradient_boosting_top160,gradient_boosting,160,movement,empty,0,0.0
21,gradient_boosting_top160,gradient_boosting,160,movement,static_presence,10,0.3225806451612903
21,gradient_boosting_top160,gradient_boosting,160,movement,movement,21,0.6774193548387096
21,xgboost_top160,xgboost,160,empty,empty,10,0.6666666666666666
21,xgboost_top160,xgboost,160,empty,static_presence,2,0.13333333333333333
21,xgboost_top160,xgboost,160,empty,movement,3,0.2
21,xgboost_top160,xgboost,160,static_presence,empty,2,0.06896551724137931
21,xgboost_top160,xgboost,160,static_presence,static_presence,22,0.7586206896551724
21,xgboost_top160,xgboost,160,static_presence,movement,5,0.1724137931034483
21,xgboost_top160,xgboost,160,movement,empty,1,0.03225806451612903
21,xgboost_top160,xgboost,160,movement,static_presence,7,0.22580645161290322
21,xgboost_top160,xgboost,160,movement,movement,23,0.7419354838709677
21,gradient_boosting_top231,gradient_boosting,231,empty,empty,10,0.6666666666666666
21,gradient_boosting_top231,gradient_boosting,231,empty,static_presence,2,0.13333333333333333
21,gradient_boosting_top231,gradient_boosting,231,empty,movement,3,0.2
21,gradient_boosting_top231,gradient_boosting,231,static_presence,empty,0,0.0
21,gradient_boosting_top231,gradient_boosting,231,static_presence,static_presence,19,0.6551724137931034
21,gradient_boosting_top231,gradient_boosting,231,static_presence,movement,10,0.3448275862068966
21,gradient_boosting_top231,gradient_boosting,231,movement,empty,1,0.03225806451612903
21,gradient_boosting_top231,gradient_boosting,231,movement,static_presence,10,0.3225806451612903
