seed,scenario_id,quadrant,strategy,windows,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1,true_state_changes,final_state_changes,extra_state_changes,missing_state_changes,transition_count,transition_success_count,transition_success_rate,transition_delay_mean,confidence_mean,confidence_std,realtime_score
168,seed168_quad1_scenario1,quad1,majority_vote_5,60,0.6333333333333333,0.6423611111111112,0.6041666666666667,0.43750000000000006,0.6562500000000001,0.8333333333333334,4,10,6,0,4,4,1.0,3.25,0.5865419792371787,0.14153439491653197,0.5798611111111112
168,seed168_quad1_scenario1,quad1,confidence_hold_055,60,0.95,0.9517657497781721,0.9501188997338067,0.9565217391304348,0.9387755102040817,0.9600000000000001,4,5,1,0,4,4,1.0,0.25,0.5865419792371787,0.14153439491653197,0.9442657497781721
168,seed168_quad1_scenario1,quad1,confidence_hold_065,60,0.5833333333333334,0.535962441314554,0.4511549295774647,0.0,0.6478873239436619,0.9600000000000001,4,2,0,2,4,3,0.75,3.25,0.5865419792371787,0.14153439491653197,0.4434624413145539
168,seed168_quad1_scenario1,quad1,confirm2_conf050_override075,60,0.6333333333333333,0.6262838468720822,0.5682072829131654,0.2857142857142857,0.6764705882352942,0.9166666666666666,4,3,0,1,4,4,1.0,2.5,0.5865419792371787,0.14153439491653197,0.5712838468720821
168,seed168_quad1_scenario1,quad1,confirm2_conf060_override080,60,0.5666666666666667,0.5185185185185185,0.43888888888888894,0.0,0.638888888888889,0.9166666666666666,4,2,0,2,4,3,0.75,3.5,0.5865419792371787,0.14153439491653197,0.4235185185185185
168,seed168_quad1_scenario1,quad1,confirm3_conf050_override080,60,0.6166666666666667,0.6073153899240856,0.5548654244306418,0.2857142857142857,0.6666666666666666,0.8695652173913043,4,3,0,1,4,4,1.0,2.75,0.5865419792371787,0.14153439491653197,0.5498153899240856
168,seed168_quad1_scenario1,quad1,vote3_confirm2_conf050,60,0.6166666666666667,0.6164150511808772,0.5563647280837193,0.27586206896551724,0.6567164179104478,0.9166666666666666,4,5,1,0,4,4,1.0,2.75,0.5865419792371787,0.14153439491653197,0.5839150511808773
168,seed168_quad1_scenario1,quad1,vote3_confirm2_conf060,60,0.5166666666666667,0.4870381710553174,0.4105327617881201,0.0,0.591549295774648,0.8695652173913043,4,4,0,0,4,3,0.75,4.25,0.5865419792371787,0.14153439491653197,0.4445381710553174
168,seed168_quad1_scenario1,quad1,movement_priority_confirm,60,0.5666666666666667,0.5185185185185185,0.43888888888888894,0.0,0.638888888888889,0.9166666666666666,4,2,0,2,4,3,0.75,3.5,0.5865419792371787,0.14153439491653197,0.4235185185185185
168,seed168_quad1_scenario2,quad1,raw_prediction,60,0.6,0.6242311276794036,0.5890773532152842,0.48648648648648646,0.5862068965517241,0.8,4,25,21,0,4,4,1.0,1.0,0.5675238019780322,0.130891783865904,0.5092311276794036
168,seed168_quad1_scenario2,quad1,majority_vote_3,60,0.65,0.6681691190165767,0.6325721735891227,0.5142857142857142,0.6440677966101694,0.8461538461538461,4,14,10,0,4,4,1.0,1.75,0.5675238019780322,0.130891783865904,0.6006691190165767
